,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
1056avd,0.03597727877174961,0.07435012380278394,0.01045932613233358,0.0448245881900009,0.09736644161794406,0.05738076618296706,0.05747702405503745,0.12250781551733672,0.05832623621396166,0.03597727877174961,-0.07435012380278394,-0.01045932613233358,0.0448245881900009,-0.09736644161794406,-0.05738076618296706
105d7yr,0.11865519143325454,0.14822952887833551,0.05596851462998842,0.11060736905038837,0.11247017819745864,0.08631299852619989,0.16221296046343242,0.18606862770295643,0.10287083330308457,-0.11865519143325454,-0.14822952887833551,-0.05596851462998842,-0.11060736905038837,0.11247017819745864,-0.08631299852619989
105p5vj,0.03639129639244132,0.07360361288037476,0.031896955135173766,0.01737036835108352,0.009725333780461476,0.02035663239787855,0.040324386539349076,0.07424334277351373,0.03783924192525065,-0.03639129639244132,-0.07360361288037476,-0.031896955135173766,0.01737036835108352,-0.009725333780461476,0.02035663239787855
105qdb4,0.11689898400021548,0.15817177102205093,0.1876482578639882,0.019971486867214505,0.04430120749246269,0.019510434295753498,0.11859271793820207,0.16425865619060184,0.1886598148143868,-0.11689898400021548,-0.15817177102205093,-0.1876482578639882,0.019971486867214505,-0.04430120749246269,0.019510434295753498
105shwy,0.024527075082617422,0.0705714114259699,0.04750689363353189,0.011359461442723706,0.048531931130328054,0.008229954353725866,0.02702988672519881,0.08564854026714303,0.04821449047093752,-0.024527075082617422,-0.0705714114259699,-0.04750689363353189,-0.011359461442723706,-0.048531931130328054,-0.008229954353725866
105t9jt,0.057668991223435384,0.03681262270729535,0.11447761813426416,0.005235835186010007,0.016214791349426605,0.0908929817288282,0.05790618722402406,0.04022547263979775,0.14617338739063107,0.057668991223435384,0.03681262270729535,0.11447761813426416,-0.005235835186010007,-0.016214791349426605,0.0908929817288282
105wi1q,0.06591803840993826,0.05993076101144812,0.03532891485831868,0.006690053024487774,0.014979511909016807,0.14311916363623833,0.06625665700353855,0.06177444368380574,0.14741515263025948,0.06591803840993826,0.05993076101144812,0.03532891485831868,0.006690053024487774,-0.014979511909016807,0.14311916363623833
105z35q,0.004634365995146439,0.029700199246217807,0.09697052669111805,0.014673184385071814,0.027624851542858764,0.05718887275942386,0.015387647259255878,0.040561487374479045,0.11257819599836556,0.004634365995146439,-0.029700199246217807,-0.09697052669111805,0.014673184385071814,0.027624851542858764,0.05718887275942386
1062g1l,0.0022094910498680065,0.005804887831423855,0.03709315944735181,0.03248118847336112,0.07942430196154504,0.10451000576005054,0.032556250633963585,0.0796361504896746,0.11089744713812154,0.0022094910498680065,0.005804887831423855,0.03709315944735181,0.03248118847336112,0.07942430196154504,-0.10451000576005054
1067ize,0.029398998124646525,0.06965757562453545,0.03341272390592742,0.07547491878634283,0.17738628416806534,0.10401168714974318,0.08099854601496262,0.1905730087206515,0.10924669872609324,-0.029398998124646525,-0.06965757562453545,-0.03341272390592742,-0.07547491878634283,-0.17738628416806534,-0.10401168714974318
106bmx0,0.07254981143974959,0.04083536101802343,0.054917576398731516,0.19029441457671847,0.26411272580402123,0.3187149648599661,0.2036551972306114,0.267250928232443,0.32341176389117315,0.07254981143974959,0.04083536101802343,0.054917576398731516,-0.19029441457671847,-0.26411272580402123,-0.3187149648599661
106cn1j,0.03047044413423894,0.014834039874719984,0.023082837001402012,0.11272370199368975,0.06158572974113241,0.0878869326768621,0.1167693493897262,0.06334706659942972,0.09086765265693059,-0.03047044413423894,0.014834039874719984,0.023082837001402012,-0.11272370199368975,-0.06158572974113241,-0.0878869326768621
106oq6d,0.19663073227378502,0.1615034683406238,0.29742676390488487,0.010257319259909359,0.02540759410584581,0.20616558692237597,0.19689808905351172,0.1634898043435684,0.3618935328490686,-0.19663073227378502,-0.1615034683406238,-0.29742676390488487,0.010257319259909359,0.02540759410584581,0.20616558692237597
