,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
106owwt,0.04004744854396414,0.01681132508544625,0.07480083572315088,0.3611560112054768,0.3655501232604341,0.08058541575576017,0.36336959499211263,0.3659364880233278,0.10995078106776016,-0.04004744854396414,-0.01681132508544625,0.07480083572315088,-0.3611560112054768,-0.3655501232604341,0.08058541575576017
106pb6e,0.1087023936154301,0.18165313363438385,0.13375276762490396,0.2784621648515202,0.3648582088798613,0.1614772241191833,0.2989270607213725,0.40757744484479486,0.20967760194297938,-0.1087023936154301,-0.18165313363438385,-0.13375276762490396,-0.2784621648515202,-0.3648582088798613,-0.1614772241191833
1070gt7,0.04680695503382637,0.05024293978243932,0.04435940054365517,0.00304190428803075,0.020817093649913687,0.0964186013002255,0.046905694976582354,0.05438478083077196,0.10613342118901228,-0.04680695503382637,-0.05024293978243932,-0.04435940054365517,0.00304190428803075,-0.020817093649913687,-0.0964186013002255
107d6lq,0.3098764058679375,0.29316178577462715,0.34508111555591725,0.06674736243171608,0.07511694847832118,0.20315743689839305,0.316983591539407,0.3026324314862225,0.40044215622289425,-0.3098764058679375,-0.29316178577462715,-0.34508111555591725,-0.06674736243171608,-0.07511694847832118,0.20315743689839305
107h866,0.009445233127399977,0.012174140014712176,0.04455406473958101,0.054850636079718296,0.01315119458015701,0.012264164804422606,0.055657925825354185,0.01792103802749627,0.04621119369989066,-0.009445233127399977,-0.012174140014712176,-0.04455406473958101,0.054850636079718296,-0.01315119458015701,-0.012264164804422606
107j3b9,0.10019163467506909,0.11595381332298738,0.11798300260198635,0.06352411590899276,0.03712900180159995,0.1281871059371955,0.11863252910092431,0.12175323239620957,0.1742180330262459,-0.10019163467506909,-0.11595381332298738,-0.11798300260198635,0.06352411590899276,0.03712900180159995,0.1281871059371955
107p8ie,0.009009317453522847,0.04144410367700457,0.04422629312229631,0.06362812442937305,0.029879080886309417,0.06327983769609258,0.06426278876128962,0.05109181151809872,0.07720299775386376,-0.009009317453522847,-0.04144410367700457,-0.04422629312229631,0.06362812442937305,0.029879080886309417,0.06327983769609258
107p8mg,0.057841259309962645,0.0018296942313176245,0.023490624015036765,0.12870020598554444,0.19033178674372042,0.1454484213062086,0.1411005113360115,0.19034058113297117,0.1473331350276786,0.057841259309962645,0.0018296942313176245,-0.023490624015036765,-0.12870020598554444,-0.19033178674372042,-0.1454484213062086
107q8sk,0.12401649342375443,0.045208052782643726,0.045890793352231896,0.1293017729001802,0.1471029525589751,0.24981264386210622,0.17916204708657996,0.1538929715353056,0.2539927596367124,0.12401649342375443,0.045208052782643726,0.045890793352231896,-0.1293017729001802,-0.1471029525589751,-0.24981264386210622
107rvi2,0.10896599581236144,0.1365626124129773,0.20358137983517555,0.09801045225548322,0.036857471796911234,0.23008100695909706,0.14655932926533174,0.14144900259923066,0.30721759060787207,0.10896599581236144,0.1365626124129773,0.20358137983517555,-0.09801045225548322,-0.036857471796911234,0.23008100695909706
107y31a,0.021063425698278238,0.03743506296604604,0.04694257099117927,0.03396094289092755,0.04905263484657718,0.0021933497979107486,0.039962651866308,0.061705307102902174,0.04699378421236047,-0.021063425698278238,0.03743506296604604,-0.04694257099117927,0.03396094289092755,0.04905263484657718,-0.0021933497979107486
108ajl3,0.019943479084052917,0.008695253903859168,0.05444891570919719,0.03924702730088292,0.002877092046475127,0.004992469156276158,0.04402353359207216,0.009158880886684167,0.054677318608209284,0.019943479084052917,-0.008695253903859168,-0.05444891570919719,0.03924702730088292,0.002877092046475127,-0.004992469156276158
108cjek,0.04572509123702062,0.024256101035804,0.022485111802135194,0.038335412347766606,0.009278995615686014,0.031671507278083766,0.05966898531487825,0.02597033301856278,0.03884153223059349,0.04572509123702062,0.024256101035804,-0.022485111802135194,0.038335412347766606,0.009278995615686014,0.031671507278083766
108gx1s,0.14846056056225265,0.12372651111580169,0.19737377422367164,0.18897064355134585,0.10824540312458808,0.32147136867786674,0.24031321679563963,0.1643937859242045,0.3772270505026354,-0.14846056056225265,-0.12372651111580169,-0.19737377422367164,-0.18897064355134585,-0.10824540312458808,-0.32147136867786674
108iuns,0.2017241709951776,0.12290617313437391,0.21631500844467855,0.0820144082814731,0.11990112398997033,0.15274253564660079,0.21775905108502794,0.17170383492687324,0.2648064672060984,-0.2017241709951776,-0.12290617313437391,-0.21631500844467855,0.0820144082814731,0.11990112398997033,0.15274253564660079
108ku0w,0.056961818126800345,0.059565135158930804,0.04545846118493024,0.0040426221575711185,0.011353260391808506,0.0019424495255475627,0.057105091876465494,0.06063746241413721,0.04549994289514119,-0.056961818126800345,-0.059565135158930804,-0.04545846118493024,0.0040426221575711185,-0.011353260391808506,-0.0019424495255475627
108mzrr,0.05398420779692703,0.051026433379461444,0.015545512488927216,0.07746131912471643,0.11655411861567178,0.20483689301281327,0.09441689812741656,0.12723427002857643,0.20542593725643826,-0.05398420779692703,-0.051026433379461444,-0.015545512488927216,-0.07746131912471643,-0.11655411861567178,0.20483689301281327
