strata_col,strata_level,metric,comparison,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value
selected_hit_count,9,delta_affect_shift_mag,mask vs replacement_lowgap,4,0.2651880798822501,0.34867138246049734,-0.08348330257824722,,
selected_hit_count,9,delta_affect_shift_mag,mask vs deletion,4,0.2651880798822501,0.16328293653296855,0.10190514334928155,,
selected_hit_count,9,delta_affect_shift_mag,replacement_lowgap vs deletion,4,0.34867138246049734,0.16328293653296855,0.1853884459275288,,
selected_hit_count,10,abs_delta_valence,mask vs replacement_lowgap,5,0.20289710734388322,0.2537610488301153,-0.0508639414862321,6.0,0.8125
selected_hit_count,10,abs_delta_valence,mask vs deletion,5,0.20289710734388322,0.16843847913211202,0.03445862821177119,6.0,0.8125
selected_hit_count,10,abs_delta_valence,replacement_lowgap vs deletion,5,0.2537610488301153,0.16843847913211202,0.0853225696980033,5.0,0.625
selected_hit_count,10,abs_delta_arousal,mask vs replacement_lowgap,5,0.24078696277886266,0.3408240304897101,-0.10003706771084744,4.0,0.4375
selected_hit_count,10,abs_delta_arousal,mask vs deletion,5,0.24078696277886266,0.13356466678382736,0.1072222959950353,0.0,0.0625
selected_hit_count,10,abs_delta_arousal,replacement_lowgap vs deletion,5,0.3408240304897101,0.13356466678382736,0.20725936370588274,1.0,0.125
selected_hit_count,10,delta_affect_shift_mag,mask vs replacement_lowgap,5,0.3206651986659049,0.44870901037641675,-0.12804381171051188,3.0,0.3125
selected_hit_count,10,delta_affect_shift_mag,mask vs deletion,5,0.3206651986659049,0.23301072921556135,0.08765446945034358,3.0,0.3125
selected_hit_count,10,delta_affect_shift_mag,replacement_lowgap vs deletion,5,0.44870901037641675,0.23301072921556135,0.21569828116085543,0.0,0.0625
selected_hit_count,11,abs_delta_valence,mask vs replacement_lowgap,3,0.30253463729681257,0.23436835192948577,0.06816628536732683,,
selected_hit_count,11,abs_delta_valence,mask vs deletion,3,0.30253463729681257,0.3294230509995704,-0.026888413702757852,,
selected_hit_count,11,abs_delta_valence,replacement_lowgap vs deletion,3,0.23436835192948577,0.3294230509995704,-0.09505469907008468,,
selected_hit_count,11,abs_delta_arousal,mask vs replacement_lowgap,3,0.8245758687868965,0.8520570783802276,-0.027481209593331224,,
selected_hit_count,11,abs_delta_arousal,mask vs deletion,3,0.8245758687868965,0.7562030663121263,0.06837280247477014,,
selected_hit_count,11,abs_delta_arousal,replacement_lowgap vs deletion,3,0.8520570783802276,0.7562030663121263,0.09585401206810136,,
selected_hit_count,11,delta_affect_shift_mag,mask vs replacement_lowgap,3,0.917557836977475,0.8969567205262671,0.020601116451208,,
selected_hit_count,11,delta_affect_shift_mag,mask vs deletion,3,0.917557836977475,0.85865488789844,0.05890294907903493,,
selected_hit_count,11,delta_affect_shift_mag,replacement_lowgap vs deletion,3,0.8969567205262671,0.85865488789844,0.03830183262782693,,
selected_hit_count,14,abs_delta_valence,mask vs replacement_lowgap,2,0.37841626728256017,0.403209630143631,-0.02479336286107081,,
selected_hit_count,14,abs_delta_valence,mask vs deletion,2,0.37841626728256017,0.46520586965507515,-0.08678960237251498,,
selected_hit_count,14,abs_delta_valence,replacement_lowgap vs deletion,2,0.403209630143631,0.46520586965507515,-0.06199623951144417,,
selected_hit_count,14,abs_delta_arousal,mask vs replacement_lowgap,2,0.7407741603198694,0.8533800545544323,-0.11260589423456291,,
selected_hit_count,14,abs_delta_arousal,mask vs deletion,2,0.7407741603198694,0.6654488394562983,0.07532532086357113,,
selected_hit_count,14,abs_delta_arousal,replacement_lowgap vs deletion,2,0.8533800545544323,0.6654488394562983,0.18793121509813404,,
selected_hit_count,14,delta_affect_shift_mag,mask vs replacement_lowgap,2,0.9228472455132866,1.0088235779469215,-0.08597633243363495,,
selected_hit_count,14,delta_affect_shift_mag,mask vs deletion,2,0.9228472455132866,0.9698406543805691,-0.04699340886728259,,
selected_hit_count,14,delta_affect_shift_mag,replacement_lowgap vs deletion,2,1.0088235779469215,0.9698406543805691,0.03898292356635236,,
selected_hit_count,15,abs_delta_valence,mask vs replacement_lowgap,1,0.030099221906171758,0.08170903089873072,-0.05160980899255896,,
